edge_id,point_id_left,point_id_right,kBT_left,J_A_left,kBT_right,J_A_right,z2_left,z2_right,topology_left,topology_right,z2_change_candidate,p0_sign_change_candidate,ppi_sign_change_candidate,edge_length_norm,bulk_gap_min,pfaffian_margin_min,mid_kBT,mid_J_A
38,29,4761,0.2636666666666667,0.6558750000000001,0.2613333333333333,0.6492500000000001,1,1,topological,topological,False,False,False,0.005881259072694342,0.03653487194678032,0.04816112803996617,0.2625,0.6525625000000002
39,29,5893,0.2636666666666667,0.6558750000000001,0.2636666666666667,0.6625000000000001,1,1,topological,topological,False,False,False,0.004115226337448541,0.02096280906413503,0.06382111563849135,0.2636666666666667,0.6591875
40,29,5995,0.2636666666666667,0.6558750000000001,0.2636666666666667,0.6492500000000001,1,1,topological,topological,False,False,False,0.004115226337448541,0.03712181304578482,0.0488545989134771,0.2636666666666667,0.6525625000000002
41,29,6907,0.2636666666666667,0.6558750000000001,0.2613333333333333,0.6558750000000001,1,1,topological,topological,False,False,False,0.004201680672269059,0.04763174791132138,0.06313915195638053,0.2625,0.6558750000000001
42,30,647,0.3103333333333333,0.523375,0.3103333333333333,0.483625,0,0,trivial,trivial,False,False,False,0.024691358024691357,0.13695426146076706,0.1516785198825676,0.3103333333333333,0.5035000000000001
43,30,739,0.3103333333333333,0.523375,0.308,0.53,0,0,trivial,trivial,False,False,False,0.005881259072694143,0.12908851050469555,0.14346243703909697,0.30916666666666665,0.5266875
44,30,740,0.3103333333333333,0.523375,0.2963333333333333,0.510125,0,0,trivial,trivial,False,False,False,0.026519590649472215,0.13695426146076706,0.1516785198825676,0.3033333333333333,0.51675
45,30,6475,0.3103333333333333,0.523375,0.3196666666666667,0.523375,0,0,trivial,trivial,False,False,False,0.016806722689075793,0.13163749922747398,0.1460698298166617,0.315,0.523375
46,30,6490,0.3103333333333333,0.523375,0.3103333333333333,0.536625,0,0,trivial,trivial,False,False,False,0.008230452674897082,0.11848404559004974,0.1323033941380365,0.3103333333333333,0.53
47,33,947,0.4013333333333334,0.3445,0.4013333333333334,0.337875,0,0,trivial,trivial,False,False,False,0.004115226337448541,0.27665868816837097,0.28959484076290404,0.4013333333333334,0.3411875
48,33,951,0.4013333333333334,0.3445,0.3943333333333333,0.33125,0,0,trivial,trivial,False,False,False,0.0150541501081658,0.27665868816837097,0.28959484076290404,0.39783333333333337,0.337875
49,33,1105,0.4013333333333334,0.3445,0.3966666666666667,0.364375,0,0,trivial,trivial,False,False,False,0.014934265035908032,0.26106765285694117,0.2752110666718914,0.399,0.35443749999999996
50,33,1772,0.4013333333333334,0.3445,0.406,0.351125,0,0,trivial,trivial,False,False,False,0.009356899577066246,0.2646585740616323,0.2784005651234639,0.40366666666666673,0.34781249999999997
51,36,2040,0.126,0.06625,0.126,0.072875,0,0,trivial,trivial,False,False,False,0.004115226337448555,0.4243419359140665,0.39620651320354777,0.126,0.0695625
52,36,2505,0.126,0.06625,0.1236666666666666,0.06625,0,0,trivial,trivial,False,False,False,0.004201680672269031,0.424544108624556,0.39518170840642936,0.1248333333333333,0.06625
53,36,2621,0.126,0.06625,0.1283333333333333,0.053,0,0,trivial,trivial,False,False,False,0.009240912925974284,0.42653653662969215,0.3969611332238723,0.12716666666666665,0.059625
54,36,3426,0.126,0.06625,0.126,0.053,0,0,trivial,trivial,False,False,False,0.008230452674897117,0.42653653662969215,0.3969611332238723,0.126,0.059625
55,36,3846,0.126,0.06625,0.1236666666666666,0.059625,0,0,trivial,trivial,False,False,False,0.005881259072694336,0.42653653662969215,0.3958727990828243,0.1248333333333333,0.06293750000000001
56,36,4782,0.126,0.06625,0.1306666666666666,0.072875,0,0,trivial,trivial,False,False,False,0.009356899577066128,0.42653653662969215,0.3969611332238723,0.1283333333333333,0.0695625
57,39,289,0.28,0.22525,0.28,0.2385,0,0,trivial,trivial,False,False,False,0.00823045267489711,0.4201762656253035,0.42331584790762367,0.28,0.231875
58,39,584,0.28,0.22525,0.2893333333333333,0.22525,0,0,trivial,trivial,False,False,False,0.01680672268907557,0.4288700742508418,0.42993713197298267,0.2846666666666666,0.22525
